t,theta
4.81667,1.0649
4.83333,1.09382
4.85,1.12326
4.86667,1.15073
4.88333,1.1789
4.9,1.20757
4.91667,1.23375
4.93333,1.26249
4.95,1.2894
4.96667,1.31755
4.98333,1.34294
5,1.371
5.01667,1.39626
5.03333,1.42446
5.05,1.44879
5.06667,1.47637
5.08333,1.50165
5.1,1.52642
5.11667,1.55179
5.13333,1.57615
5.15,1.60178
5.16667,1.62633
5.18333,1.64966
5.2,1.67455
5.21667,1.69711
5.23333,1.72018
5.25,1.7429
5.26667,1.76618
5.28333,1.78899
5.3,1.81254
5.31667,1.83297
5.33333,1.85625
5.35,1.87854
5.36667,1.89928
5.38333,1.91922
5.4,1.94058
5.41667,1.96012
5.43333,1.98222
5.45,2.0023
5.46667,2.0212
5.48333,2.0414
5.5,2.05974
5.51667,2.08032
5.53333,2.09829
5.55,2.11724
5.56667,2.13643
5.58333,2.15476
5.6,2.17239
5.61667,2.19032
5.63333,2.2083
5.65,2.22424
5.66667,2.24181
5.68333,2.25992
5.7,2.2763
5.71667,2.29235
5.73333,2.30979
5.75,2.32527
5.76667,2.34205
5.78333,2.35747
5.8,2.374
5.81667,2.38941
5.83333,2.4044
5.85,2.42013
5.86667,2.4345
5.88333,2.44887
5.9,2.46397
5.91667,2.47812
5.93333,2.49281
5.95,2.50701
5.96667,2.52184
5.98333,2.53547
6,2.54966
6.01667,2.56255
6.03333,2.57607
6.05,2.59231
6.06667,2.6052
6.08333,2.61904
6.1,2.63184
6.11667,2.64482
6.13333,2.65955
6.15,2.67252
6.16667,2.68521
6.18333,2.70039
6.2,2.71303
6.21667,2.72475
6.23333,2.74044
6.25,2.75197
6.26667,2.76472
6.28333,2.77918
6.3,2.79114
6.31667,2.8048
6.33333,2.82005
6.35,2.83157
6.36667,2.84669
6.38333,2.86008
6.4,2.8721
6.41667,2.88565
6.43333,2.9001
6.45,2.91392
6.46667,2.92783
6.48333,2.94135
6.5,2.9555
6.51667,2.96933
6.53333,2.98599
6.55,2.9996
6.56667,3.01376
6.58333,3.02906
6.6,3.04259
6.61667,3.05934
6.63333,3.07258
6.65,3.08818
6.66667,3.10432
6.68333,3.11954
6.7,3.13621
6.71667,3.15155
6.73333,3.16807
6.75,3.18313
6.76667,3.19969
6.78333,3.21523
6.8,3.23335
6.81667,3.24983
6.83333,3.26796
6.85,3.28356
6.86667,3.30171
6.88333,3.32066
6.9,3.33875
6.91667,3.3573
6.93333,3.37617
6.95,3.3949
6.96667,3.41362
6.98333,3.43235
7,3.45153
7.01667,3.47108
7.03333,3.4929
7.05,3.51285
7.06667,3.53181
7.08333,3.55421
7.1,3.5743
7.11667,3.59695
7.13333,3.61724
7.15,3.63758
7.16667,3.66032
7.18333,3.68147
7.2,3.70543
7.21667,3.72802
7.23333,3.7525
7.25,3.77425
7.26667,3.79797
7.28333,3.82025
7.3,3.84447
7.31667,3.86918
7.33333,3.89246
7.35,3.91821
7.36667,3.94393
7.38333,3.96869
7.4,3.99436
7.41667,4.02051
7.43333,4.04691
7.45,4.07204
7.46667,4.09809
7.48333,4.12563
7.5,4.15197
7.51667,4.1784
7.53333,4.20761
7.55,4.23411
7.56667,4.26169
7.58333,4.28909
7.6,4.319
7.61667,4.34554
7.63333,4.37441
7.65,4.40321
7.66667,4.432
7.68333,4.46288
7.7,4.49113
7.71667,4.521
7.73333,4.55123
7.75,4.58084
7.76667,4.61105
7.78333,4.64032
7.8,4.67002
7.81667,4.69969
7.83333,4.73126
7.85,4.76189
7.86667,4.79392
7.88333,4.82304
7.9,4.85505
7.91667,4.88558
7.93333,4.91546
7.95,4.94807
7.96667,4.97888
7.98333,5.00949
8,5.04233
8.01667,5.0752
8.03333,5.10412
8.05,5.13634
8.06667,5.16918
8.08333,5.19979
8.1,5.23152
8.11667,5.26313
8.13333,5.29539
8.15,5.3263
8.16667,5.35891
8.18333,5.39156
8.2,5.4217
8.21667,5.45401
8.23333,5.4861
8.25,5.51843
8.26667,5.54935
8.28333,5.57963
8.3,5.61273
8.31667,5.64377
8.33333,5.67514
8.35,5.70538
8.36667,5.73665
8.38333,5.7685
8.4,5.80004
8.41667,5.83059
8.43333,5.86129
8.45,5.89085
8.46667,5.92332
8.48333,5.95329
8.5,5.98354
8.51667,6.01167
8.53333,6.04282
8.55,6.07296
8.56667,6.10376
8.58333,6.13315
8.6,6.16093
8.61667,6.19091
8.63333,6.22014
8.65,6.24745
8.66667,6.27747
8.68333,0.0216915
8.7,0.050878
8.71667,0.0786091
8.73333,0.105952
8.75,0.132947
8.76667,0.161104
8.78333,0.188492
8.8,0.216278
8.81667,0.242968
8.83333,0.267742
8.85,0.294618
8.86667,0.320763
8.88333,0.346886
8.9,0.37099
8.91667,0.398115
8.93333,0.423268
8.95,0.44769
8.96667,0.473096
8.98333,0.497159
9,0.52048
9.01667,0.54383
9.03333,0.56806
9.05,0.592838
9.06667,0.614264
9.08333,0.637154
9.1,0.659775
9.11667,0.683051
9.13333,0.70278
9.15,0.727584
9.16667,0.748825
9.18333,0.769558
9.2,0.789995
9.21667,0.810769
9.23333,0.832444
9.25,0.853009
9.26667,0.870344
9.28333,0.891486
9.3,0.911445
9.31667,0.932671
9.33333,0.949907
9.35,0.968081
9.36667,0.987857
9.38333,1.00559
9.4,1.02537
9.41667,1.04192
9.43333,1.05943
9.45,1.07731
9.46667,1.09544
9.48333,1.11032
9.5,1.12888
9.51667,1.14629
9.53333,1.16096
9.55,1.17794
9.56667,1.19348
9.58333,1.20959
9.6,1.22654
9.61667,1.2414
9.63333,1.25592
9.65,1.27266
9.66667,1.28693
9.68333,1.30321
9.7,1.31768
9.71667,1.33123
9.73333,1.3458
9.75,1.3616
9.76667,1.37527
9.78333,1.38906
9.8,1.4032
9.81667,1.41656
9.83333,1.43051
9.85,1.44423
9.86667,1.45838
9.88333,1.47119
9.9,1.48569
9.91667,1.49889
9.93333,1.51257
9.95,1.52622
9.96667,1.53977
9.98333,1.55323
10,1.56699
10.0167,1.58048
10.0333,1.59424
10.05,1.60619
10.0667,1.61977
10.0833,1.63293
10.1,1.64744
10.1167,1.66051
10.1333,1.67474
10.15,1.68763
10.1667,1.70173
10.1833,1.71293
10.2,1.72657
10.2167,1.74054
10.2333,1.75409
10.25,1.76814
10.2667,1.78173
10.2833,1.79573
10.3,1.80972
10.3167,1.82374
10.3333,1.83782
10.35,1.85227
10.3667,1.86898
10.3833,1.8823
10.4,1.89738
10.4167,1.91186
10.4333,1.92639
10.45,1.94215
10.4667,1.95805
10.4833,1.97175
10.5,1.9895
10.5167,2.00468
10.5333,2.01963
10.55,2.03691
10.5667,2.05167
10.5833,2.07056
10.6,2.08604
10.6167,2.10256
10.6333,2.12014
10.65,2.13618
10.6667,2.15531
10.6833,2.17227
10.7,2.19011
10.7167,2.20827
10.7333,2.2276
10.75,2.24575
10.7667,2.26458
10.7833,2.28355
10.8,2.30373
10.8167,2.32324
10.8333,2.34217
10.85,2.36249
10.8667,2.38321
10.8833,2.40435
10.9,2.42328
10.9167,2.44444
10.9333,2.46685
10.95,2.48792
10.9667,2.51068
10.9833,2.53235
11,2.55487
11.0167,2.57594
11.0333,2.60071
11.05,2.62355
11.0667,2.6465
11.0833,2.67046
11.1,2.69277
11.1167,2.71771
11.1333,2.74215
11.15,2.76649
11.1667,2.79121
11.1833,2.81812
11.2,2.8417
11.2167,2.8667
11.2333,2.89312
11.25,2.91839
11.2667,2.94427
11.2833,2.97214
11.3,2.99941
11.3167,3.02448
11.3333,3.05162
11.35,3.0789
11.3667,3.10601
11.3833,3.13577
11.4,3.16302
11.4167,3.19036
11.4333,3.22
11.45,3.24685
11.4667,3.27743
11.4833,3.30669
11.5,3.33422
11.5167,3.36494
11.5333,3.39309
11.55,3.42263
11.5667,3.45144
11.5833,3.48289
11.6,3.51268
11.6167,3.54345
11.6333,3.57322
11.65,3.60374
11.6667,3.63582
11.6833,3.66578
11.7,3.69567
11.7167,3.72716
11.7333,3.75755
11.75,3.78858
11.7667,3.82066
11.7833,3.85076
11.8,3.88438
11.8167,3.91384
11.8333,3.94427
11.85,3.97654
11.8667,4.00915
11.8833,4.04094
11.9,4.07242
11.9167,4.1034
11.9333,4.13604
11.95,4.16607
11.9667,4.19742
11.9833,4.23125
12,4.26155
12.0167,4.29372
12.0333,4.32565
12.05,4.35791
12.0667,4.38923
12.0833,4.42003
12.1,4.45081
12.1167,4.48378
12.1333,4.51414
12.15,4.54721
12.1667,4.57662
12.1833,4.60823
12.2,4.63848
12.2167,4.66974
12.2333,4.69955
12.25,4.73157
12.2667,4.76107
12.2833,4.79347
12.3,4.82277
12.3167,4.85311
12.3333,4.88269
12.35,4.91338
12.3667,4.94329
12.3833,4.97175
12.4,5.0026
12.4167,5.03136
12.4333,5.06021
12.45,5.09003
12.4667,5.11645
12.4833,5.14592
12.5,5.17484
12.5167,5.2028
12.5333,5.23042
12.55,5.2582
12.5667,5.2865
12.5833,5.313
12.6,5.34088
12.6167,5.3685
12.6333,5.39456
12.65,5.42029
12.6667,5.44606
12.6833,5.47309
12.7,5.49879
12.7167,5.52482
12.7333,5.54946
12.75,5.57381
12.7667,5.59816
12.7833,5.62373
12.8,5.64701
12.8167,5.67266
12.8333,5.69364
12.85,5.71918
12.8667,5.74227
12.8833,5.76486
12.9,5.78735
12.9167,5.81022
12.9333,5.83079
12.95,5.85408
12.9667,5.87575
12.9833,5.89857
13,5.91833
13.0167,5.94045
13.0333,5.95944
13.05,5.98117
13.0667,6.00249
13.0833,6.02121
13.1,6.04047
13.1167,6.06141
13.1333,6.07988
13.15,6.09868
13.1667,6.11692
13.1833,6.1358
13.2,6.15444
13.2167,6.17256
13.2333,6.19087
13.25,6.20903
13.2667,6.22478
13.2833,6.24304
13.3,6.25936
13.3167,6.2776
13.3333,0.00987784
13.35,0.026367
13.3667,0.0446353
13.3833,0.0600588
13.4,0.0768267
13.4167,0.0920588
13.4333,0.106153
13.45,0.122604
13.4667,0.13802
13.4833,0.151694
13.5,0.168227
13.5167,0.182421
13.5333,0.198214
13.55,0.211656
13.5667,0.225426
13.5833,0.240281
13.6,0.253888
13.6167,0.267966
13.6333,0.282642
13.65,0.296186
13.6667,0.310849
13.6833,0.325096
13.7,0.337901
13.7167,0.351982
13.7333,0.364008
13.75,0.378727
13.7667,0.391379
13.7833,0.406158
13.8,0.418142
13.8167,0.432059
13.8333,0.446131
13.85,0.458108
13.8667,0.473205
13.8833,0.486835
13.9,0.499923
13.9167,0.511613
13.9333,0.524898
13.95,0.53848
13.9667,0.551648
13.9833,0.564979
14,0.578859
14.0167,0.592996
14.0333,0.605995
14.05,0.620602
14.0667,0.63359
14.0833,0.648866
14.1,0.66286
14.1167,0.677908
14.1333,0.691925
14.15,0.706863
14.1667,0.721357
14.1833,0.734131
14.2,0.749117
14.2167,0.764284
14.2333,0.77935
14.25,0.793956
14.2667,0.808762
14.2833,0.826044
14.3,0.840359
14.3167,0.855972
14.3333,0.872065
14.35,0.888453
14.3667,0.905431
14.3833,0.920537
14.4,0.937198
14.4167,0.955116
14.4333,0.971081
14.45,0.989373
14.4667,1.00691
14.4833,1.02509
14.5,1.04169
14.5167,1.05973
14.5333,1.07825
14.55,1.09726
14.5667,1.11584
14.5833,1.1361
14.6,1.1536
14.6167,1.17371
14.6333,1.19344
14.65,1.21254
14.6667,1.23387
14.6833,1.25327
14.7,1.27478
14.7167,1.29601
14.7333,1.31747
14.75,1.33787
14.7667,1.35945
14.7833,1.38303
14.8,1.40558
14.8167,1.426
14.8333,1.44937
14.85,1.47142
14.8667,1.49652
14.8833,1.52011
14.9,1.54256
14.9167,1.56707
14.9333,1.59272
14.95,1.61459
14.9667,1.63993
14.9833,1.66521
15,1.69001
15.0167,1.71485
15.0333,1.74239
15.05,1.76815
15.0667,1.79402
15.0833,1.81905
15.1,1.84712
15.1167,1.87314
15.1333,1.89937
15.15,1.9282
15.1667,1.95484
15.1833,1.98203
15.2,2.00952
15.2167,2.03952
15.2333,2.06728
15.25,2.09624
15.2667,2.12315
15.2833,2.15265
15.3,2.18229
15.3167,2.21013
15.3333,2.23955
15.35,2.26933
15.3667,2.29839
15.3833,2.32922
15.4,2.35746
15.4167,2.38943
15.4333,2.42029
15.45,2.44894
15.4667,2.47957
15.4833,2.51053
15.5,2.54082
15.5167,2.57105
15.5333,2.6025
15.55,2.63419
15.5667,2.66524
15.5833,2.69586
15.6,2.72678
15.6167,2.75991
15.6333,2.79125
15.65,2.82204
15.6667,2.85265
15.6833,2.88403
15.7,2.91699
15.7167,2.94595
15.7333,2.97892
15.75,3.01078
15.7667,3.04295
15.7833,3.07431
15.8,3.10618
15.8167,3.13622
15.8333,3.16805
15.85,3.1997
15.8667,3.23169
15.8833,3.26355
15.9,3.29576
15.9167,3.32487
15.9333,3.35737
15.95,3.38817
15.9667,3.41863
15.9833,3.44974
16,3.48008
16.0167,3.51246
16.0333,3.54341
16.05,3.57309
16.0667,3.60355
16.0833,3.63517
16.1,3.66518
16.1167,3.69573
16.1333,3.72461
16.15,3.75483
16.1667,3.78391
16.1833,3.81424
16.2,3.84324
16.2167,3.87207
16.2333,3.9032
16.25,3.93134
16.2667,3.96122
16.2833,3.98781
16.3,4.01703
16.3167,4.04514
16.3333,4.07248
16.35,4.10002
16.3667,4.12795
16.3833,4.15607
16.4,4.18252
16.4167,4.21055
16.4333,4.23604
16.45,4.26176
16.4667,4.28926
16.4833,4.31445
16.5,4.34087
16.5167,4.36531
16.5333,4.39146
16.55,4.41602
16.5667,4.44178
16.5833,4.46509
16.6,4.49116
16.6167,4.51435
16.6333,4.53761
16.65,4.56226
16.6667,4.58554
16.6833,4.60819
16.7,4.63154
16.7167,4.65411
16.7333,4.6768
16.75,4.69788
16.7667,4.72021
16.7833,4.74068
16.8,4.76326
16.8167,4.78493
16.8333,4.80445
16.85,4.82492
16.8667,4.84578
16.8833,4.8675
16.9,4.88571
16.9167,4.90637
16.9333,4.92557
16.95,4.94293
16.9667,4.96222
16.9833,4.98145
17,5.0004
17.0167,5.01902
17.0333,5.03658
17.05,5.05554
17.0667,5.07227
17.0833,5.08958
17.1,5.10604
17.1167,5.12416
17.1333,5.13892
17.15,5.15637
17.1667,5.17469
17.1833,5.18986
17.2,5.20558
17.2167,5.22072
17.2333,5.23689
17.25,5.25213
17.2667,5.26872
17.2833,5.28178
17.3,5.29781
17.3167,5.31303
17.3333,5.3281
17.35,5.34248
17.3667,5.35758
17.3833,5.37181
17.4,5.38679
17.4167,5.39911
17.4333,5.41412
17.45,5.42696
17.4667,5.44125
17.4833,5.45601
17.5,5.47053
17.5167,5.48349
17.5333,5.49642
17.55,5.50933
17.5667,5.52357
17.5833,5.53793
17.6,5.55081
17.6167,5.56406
17.6333,5.57693
17.65,5.5896
17.6667,5.60381
17.6833,5.61807
17.7,5.63087
17.7167,5.64502
17.7333,5.65875
17.75,5.67089
17.7667,5.68359
17.7833,5.69783
17.8,5.71068
17.8167,5.72543
17.8333,5.7383
17.85,5.75324
17.8667,5.76672
17.8833,5.77995
17.9,5.79552
17.9167,5.80871
17.9333,5.82422
17.95,5.83611
17.9667,5.85114
17.9833,5.86676
18,5.88117
18.0167,5.89639
18.0333,5.91046
18.05,5.926
18.0667,5.9401
18.0833,5.95756
18.1,5.97185
18.1167,5.98791
18.1333,6.00241
18.15,6.0197
18.1667,6.03546
18.1833,6.05252
18.2,6.06832
18.2167,6.08676
18.2333,6.10376
18.25,6.11931
18.2667,6.13778
18.2833,6.15639
18.3,6.17261
18.3167,6.19082
18.3333,6.20897
18.35,6.22769
18.3667,6.24749
18.3833,6.26583
18.4,0.000892195
18.4167,0.0220112
18.4333,0.0418164
18.45,0.0600195
18.4667,0.0806235
18.4833,0.101133
18.5,0.12257
18.5167,0.142605
18.5333,0.163661
18.55,0.186985
18.5667,0.207553
18.5833,0.22867
18.6,0.252204
18.6167,0.27334
18.6333,0.296556
18.65,0.320231
18.6667,0.342821
18.6833,0.366932
18.7,0.39099
18.7167,0.41319
18.7333,0.439035
18.75,0.462881
18.7667,0.486635
18.7833,0.512035
18.8,0.538725
18.8167,0.562495
18.8333,0.588844
18.85,0.614219
18.8667,0.640157
18.8833,0.666164
18.9,0.694395
18.9167,0.721093
18.9333,0.746798
18.95,0.774699
18.9667,0.801469
18.9833,0.828521
19,0.855806
19.0167,0.885275
19.0333,0.912092
19.05,0.940135
19.0667,0.971127
19.0833,0.999063
19.1,1.02829
19.1167,1.05702
19.1333,1.08535
19.15,1.11602
19.1667,1.14668
19.1833,1.17563
19.2,1.20532
19.2167,1.23432
19.2333,1.26567
19.25,1.29624
19.2667,1.32688
19.2833,1.35682
19.3,1.38742
19.3167,1.41674
19.3333,1.4489
19.35,1.48085
19.3667,1.51105
19.3833,1.54259
19.4,1.57451
19.4167,1.6039
19.4333,1.63519
19.45,1.66756
19.4667,1.69872
19.4833,1.73164
19.5,1.76098
19.5167,1.7939
19.5333,1.82406
19.55,1.85608
19.5667,1.88759
19.5833,1.91909
19.6,1.95053
19.6167,1.98203
19.6333,2.01512
19.65,2.04531
19.6667,2.07826
19.6833,2.10906
19.7,2.13973
19.7167,2.17136
19.7333,2.20186
19.75,2.23378
19.7667,2.26461
19.7833,2.29516
19.8,2.3256
19.8167,2.35716
19.8333,2.38939
19.85,2.4203
19.8667,2.44891
19.8833,2.47925
19.9,2.51053
19.9167,2.54072
19.9333,2.57088
19.95,2.60049
19.9667,2.63045
19.9833,2.66083
20,2.68986
20.0167,2.71766
20.0333,2.74723
20.05,2.77657
20.0667,2.80521
20.0833,2.83388
20.1,2.86274
20.1167,2.89054
20.1333,2.91847
20.15,2.94614
20.1667,2.97362
20.1833,3.00148
20.2,3.02886
20.2167,3.05437
20.2333,3.08196
20.25,3.10915
20.2667,3.13323
20.2833,3.1606
20.3,3.18589
20.3167,3.2136
20.3333,3.23788
20.35,3.26357
20.3667,3.28787
20.3833,3.31106
20.4,3.33719
20.4167,3.36025
20.4333,3.38346
20.45,3.40836
20.4667,3.43045
20.4833,3.45423
